name,age,email,phone,purchase_frequency
Jenny Jensen,35,jenny.jensen@distansakademin.se,0744-628379,medium
Jill Jöhanssön,47,jill.johansson@distansakademin.se,0761-835096,medium
Jack Jenkins,38,jack.jenkins@distansakademin.se,0777-737201,high
Jöhn Jöhanssön,59,john.johansson@distansakademin.se,0758-438188,medium
Jenny Jennings,18,jenny.jennings@distansakademin.se,0749-306481,high
Jim Janssen,48,jim.janssen@distansakademin.se,0735-643660,medium
Jane Jenkins,31,jane.jenkins@distansakademin.se,0711-783822,medium
Jane Jenkins,61,jane.jenkins@distansakademin.se,0733-807834,low
Jenny Jennings,37,invalid_mail,0734-960980,low
Jöe Jöhnsön,46,joe.johnson@distansakademin.se,0750-385497,medium
Jane Jöhanssön,57,jane.johansson@distansakademin.se,0757-683419,high
Jasper Jöhnsön,42,jasper.johnson@distansakademin.se,0729-872585,medium
Jill Jacksön,53,jill.jackson@distansakademin.se,0782-376187,high
Jack Jenkins,50,jack.jenkins@distansakademin.se,0760-910084,low
Jade Jöhanssön,59,jade.johansson@distansakademin.se,0726-421556,medium
Jim Jensen,invalid_age,jim.jensen@distansakademin.se,0784-246774,low
Jade Jennings,35,jade.jennings@distansakademin.se,0777-170121,medium
Jack Janssen,19,invalid_mail,0766-153423,high
Jöhn Jensen,65,john.jensen@distansakademin.se,0753-596888,medium
Jasper Janssen,60,jasper.janssen@distansakademin.se,0764-619377,low
Jasper Jenkins,41,jasper.jenkins@distansakademin.se,0715-340530,medium
Jenny Jöhanssön,39,jenny.johansson@distansakademin.se,0742-677088,high
Jesse Smith,18,jesse.smith@distansakademin.se,0719-218154,high
Jasper Jöhanssön,22,jasper.johansson@distansakademin.se,0765-830243,high
Jasper Jensen,35,jasper.jensen@distansakademin.se,0734-682154,low
Jasper Jensen,21,jasper.jensen@distansakademin.se,0729-259253,high
Jill Smith,33,invalid_mail,0785-551807,high
Jasper Jennings,18,jasper.jennings@distansakademin.se,0741-746848,low
Jill Smith,55,jill.smith@distansakademin.se,0727-835199,low
Jasper Jenkins,37,jasper.jenkins@distansakademin.se,0776-393521,high
Jesse Jöhnsön,invalid_age,invalid_mail,0743-235985,high
Jim Jönes,invalid_age,invalid_mail,0729-569331,low
Jade Smith,39,invalid_mail,0716-957605,high
Jane Jöhanssön,invalid_age,jane.johansson@distansakademin.se,0792-290140,low
Jade Jennings,64,jade.jennings@distansakademin.se,0714-984383,high
Jöhn Smith,24,john.smith@distansakademin.se,0795-742818,low
Jenny Jennings,24,invalid_mail,0765-661400,high
Jöhn Jöhnsön,43,john.johnson@distansakademin.se,0717-992978,high
Jesse Jönes,53,jesse.jones@distansakademin.se,0722-411120,medium
Jenny Jöhnsön,20,jenny.johnson@distansakademin.se,0775-148015,medium
Jill Jensen,invalid_age,jill.jensen@distansakademin.se,0766-994615,medium
Jenny Jöhnsön,20,jenny.johnson@distansakademin.se,0779-804648,medium
Jack Janssen,57,jack.janssen@distansakademin.se,0788-679795,high
Jasper Jönes,51,jasper.jones@distansakademin.se,0755-876597,low
Jenny Jacksön,62,invalid_mail,0726-830841,low
Jill Jöhanssön,35,jill.johansson@distansakademin.se,0711-851726,medium
Jack Janssen,59,jack.janssen@distansakademin.se,0769-130706,low
Jesse Jöhanssön,51,jesse.johansson@distansakademin.se,0771-589817,high
Jane Smith,48,jane.smith@distansakademin.se,0720-165232,high
Jöhn Jönes,43,invalid_mail,0775-862784,high
Jenny Jensen,59,jenny.jensen@distansakademin.se,0758-378427,low
Jim Janssen,33,invalid_mail,0782-399490,high
Jane Jacksön,invalid_age,jane.jackson@distansakademin.se,0756-698799,low
Jill Jenkins,58,jill.jenkins@distansakademin.se,0777-351256,high
Jesse Jönes,45,jesse.jones@distansakademin.se,0762-730020,medium
Jesse Jenkins,19,jesse.jenkins@distansakademin.se,0723-531758,medium
Jill Jönes,invalid_age,jill.jones@distansakademin.se,0785-752590,high
Jane Jensen,invalid_age,jane.jensen@distansakademin.se,0778-967014,low
Jöe Jacksön,44,joe.jackson@distansakademin.se,0754-977719,medium
Jasper Jenkins,35,jasper.jenkins@distansakademin.se,0734-764554,high
Jill Smith,63,jill.smith@distansakademin.se,0799-714782,low
Jill Jöhanssön,invalid_age,jill.johansson@distansakademin.se,0759-730559,high
Jane Jacksön,invalid_age,invalid_mail,0761-126730,low
Jöe Jöhanssön,47,invalid_mail,0728-548459,high
Jack Jensen,29,jack.jensen@distansakademin.se,0796-874466,low
Jane Jönes,invalid_age,jane.jones@distansakademin.se,0757-508044,low
Jöhn Jöhnsön,45,john.johnson@distansakademin.se,0789-204786,low
Jasper Jöhnsön,58,jasper.johnson@distansakademin.se,0713-787968,low
Jöhn Jensen,59,john.jensen@distansakademin.se,0732-747419,medium
Jasper Jensen,53,jasper.jensen@distansakademin.se,0794-224579,high
Jenny Janssen,29,jenny.janssen@distansakademin.se,0724-519292,low
Jim Jennings,55,jim.jennings@distansakademin.se,0779-145843,high
Jane Jöhnsön,invalid_age,jane.johnson@distansakademin.se,0740-102927,low
Jasper Jönes,32,jasper.jones@distansakademin.se,0731-199368,high
Jane Jacksön,invalid_age,jane.jackson@distansakademin.se,0772-369172,medium
Jill Janssen,19,jill.janssen@distansakademin.se,0721-215923,medium
Jill Jenkins,invalid_age,jill.jenkins@distansakademin.se,0730-439234,low
Jim Jenkins,23,jim.jenkins@distansakademin.se,0794-522757,low
Jöe Jöhanssön,invalid_age,joe.johansson@distansakademin.se,0737-560099,medium
Jöhn Jensen,31,john.jensen@distansakademin.se,0737-958909,low
Jim Jenkins,50,jim.jenkins@distansakademin.se,0763-375683,low
Jane Smith,invalid_age,jane.smith@distansakademin.se,0759-201727,low
Jill Jenkins,30,invalid_mail,0785-519148,low
Jade Jennings,18,jade.jennings@distansakademin.se,0742-823808,high
Jane Jöhnsön,65,jane.johnson@distansakademin.se,0788-134857,low
Jesse Jennings,51,jesse.jennings@distansakademin.se,0727-720071,medium
Jasper Jensen,59,jasper.jensen@distansakademin.se,0799-665502,low
Jasper Smith,36,jasper.smith@distansakademin.se,0739-225358,low
Jack Janssen,40,jack.janssen@distansakademin.se,0723-915269,low
Jenny Smith,30,jenny.smith@distansakademin.se,0793-931960,low
Jenny Jöhanssön,42,jenny.johansson@distansakademin.se,0784-544656,high
Jöe Jöhnsön,invalid_age,joe.johnson@distansakademin.se,0779-426206,medium
Jane Smith,60,jane.smith@distansakademin.se,0742-243945,medium
Jesse Jöhnsön,43,jesse.johnson@distansakademin.se,0773-136626,low
Jasper Janssen,42,jasper.janssen@distansakademin.se,0796-256438,low
Jade Jenkins,49,jade.jenkins@distansakademin.se,0770-605984,medium
Jack Jennings,40,jack.jennings@distansakademin.se,0734-260293,high
Jasper Jennings,47,jasper.jennings@distansakademin.se,0746-906913,medium
Jenny Jensen,invalid_age,jenny.jensen@distansakademin.se,0765-936928,high
Jenny Jacksön,64,jenny.jackson@distansakademin.se,0731-531289,low
Jack Jönes,34,jack.jones@distansakademin.se,0754-971641,high
Jane Jensen,53,jane.jensen@distansakademin.se,0765-167032,high
Jöhn Janssen,55,john.janssen@distansakademin.se,0710-648237,high
Jack Jensen,invalid_age,jack.jensen@distansakademin.se,0752-920654,low
Jöhn Jönes,25,invalid_mail,0710-328596,high
Jade Smith,27,jade.smith@distansakademin.se,0743-559369,low
Jasper Jönes,invalid_age,invalid_mail,0784-496968,high
Jill Jönes,37,jill.jones@distansakademin.se,0736-782232,medium
Jane Jöhnsön,47,jane.johnson@distansakademin.se,0711-511316,high
Jasper Jacksön,37,jasper.jackson@distansakademin.se,0757-871357,low
Jöe Smith,40,joe.smith@distansakademin.se,0761-735439,medium
Jesse Jennings,20,jesse.jennings@distansakademin.se,0713-718021,high
Jim Jacksön,24,invalid_mail,0724-978884,medium
Jöhn Jensen,46,invalid_mail,0759-852432,low
Jöe Janssen,invalid_age,joe.janssen@distansakademin.se,0762-278313,low
Jim Smith,31,jim.smith@distansakademin.se,0781-998753,low
Jenny Janssen,65,jenny.janssen@distansakademin.se,0765-890046,high
Jim Jensen,63,invalid_mail,0793-584290,medium
Jade Smith,55,jade.smith@distansakademin.se,0723-439176,low
Jenny Jenkins,24,jenny.jenkins@distansakademin.se,0769-585666,low
Jöhn Jensen,53,invalid_mail,0770-271570,medium
Jill Jensen,62,jill.jensen@distansakademin.se,0771-116300,high
Jim Jensen,49,jim.jensen@distansakademin.se,0770-590796,high
Jasper Smith,42,invalid_mail,0776-729214,low
Jack Jensen,62,jack.jensen@distansakademin.se,0776-681173,low
Jim Jenkins,64,jim.jenkins@distansakademin.se,0779-986090,high
Jöhn Jönes,61,john.jones@distansakademin.se,0721-692868,high
Jasper Jensen,55,jasper.jensen@distansakademin.se,0723-139444,low
Jesse Jensen,35,jesse.jensen@distansakademin.se,0797-367831,low
Jim Jacksön,invalid_age,invalid_mail,0754-147634,medium
Jöe Jennings,49,joe.jennings@distansakademin.se,0773-963733,medium
Jöe Jöhanssön,54,joe.johansson@distansakademin.se,0758-864252,medium
Jade Jacksön,31,invalid_mail,0765-173777,high
Jade Jensen,28,jade.jensen@distansakademin.se,0771-475550,low
Jenny Smith,56,jenny.smith@distansakademin.se,0747-983346,high
Jim Jensen,invalid_age,invalid_mail,0789-880436,medium
Jack Janssen,24,jack.janssen@distansakademin.se,0747-870487,low
Jack Jensen,invalid_age,jack.jensen@distansakademin.se,0750-183870,medium
Jasper Jönes,invalid_age,jasper.jones@distansakademin.se,0713-819924,medium
Jade Jensen,31,jade.jensen@distansakademin.se,0755-756117,medium
Jasper Jöhnsön,32,jasper.johnson@distansakademin.se,0796-689428,high
Jasper Jennings,29,jasper.jennings@distansakademin.se,0766-560271,medium
Jöe Jacksön,invalid_age,joe.jackson@distansakademin.se,0749-458277,low
Jim Jennings,52,invalid_mail,0732-220788,high
Jade Jennings,44,jade.jennings@distansakademin.se,0790-992555,high
Jade Jacksön,36,invalid_mail,0737-900657,low
Jill Janssen,43,invalid_mail,0780-603681,medium
Jöe Jensen,30,joe.jensen@distansakademin.se,0745-250459,medium
Jill Jöhnsön,34,jill.johnson@distansakademin.se,0719-204022,medium
Jöhn Janssen,34,john.janssen@distansakademin.se,0710-425363,low
Jim Jöhnsön,44,jim.johnson@distansakademin.se,0772-762506,low
Jöhn Jenkins,26,john.jenkins@distansakademin.se,0740-983791,high
Jenny Jöhanssön,20,jenny.johansson@distansakademin.se,0733-296314,medium
Jenny Smith,35,jenny.smith@distansakademin.se,0794-605099,high
Jim Jönes,60,jim.jones@distansakademin.se,0742-842097,high
Jim Jacksön,22,jim.jackson@distansakademin.se,0758-802324,medium
Jane Jönes,60,jane.jones@distansakademin.se,0787-265389,medium
Jack Jönes,invalid_age,jack.jones@distansakademin.se,0736-366036,medium
Jack Jöhnsön,41,jack.johnson@distansakademin.se,0765-345068,low
Jack Smith,invalid_age,jack.smith@distansakademin.se,0798-443571,high
Jill Jöhnsön,64,jill.johnson@distansakademin.se,0751-119071,low
Jenny Janssen,36,jenny.janssen@distansakademin.se,0715-590202,low
Jasper Jensen,23,jasper.jensen@distansakademin.se,0724-292857,medium
Jim Jensen,45,invalid_mail,0754-400271,low
Jane Janssen,19,jane.janssen@distansakademin.se,0731-720193,low
Jöhn Janssen,49,john.janssen@distansakademin.se,0711-169475,medium
Jade Jacksön,38,jade.jackson@distansakademin.se,0797-429420,high
Jade Smith,invalid_age,jade.smith@distansakademin.se,0766-681907,low
Jasper Jenkins,58,jasper.jenkins@distansakademin.se,0771-196815,low
Jasper Jönes,52,invalid_mail,0782-119534,low
Jöhn Jacksön,64,john.jackson@distansakademin.se,0758-803825,medium
Jill Jennings,invalid_age,invalid_mail,0736-294382,high
Jasper Jönes,24,jasper.jones@distansakademin.se,0788-969900,low
Jane Janssen,invalid_age,invalid_mail,0798-283338,low
Jasper Jensen,invalid_age,jasper.jensen@distansakademin.se,0794-885708,medium
Jane Smith,33,jane.smith@distansakademin.se,0793-860783,high
Jane Jenkins,35,jane.jenkins@distansakademin.se,0797-320205,low
Jim Jensen,42,jim.jensen@distansakademin.se,0797-343553,low
Jasper Smith,19,jasper.smith@distansakademin.se,0717-198802,medium
Jasper Jensen,invalid_age,jasper.jensen@distansakademin.se,0797-499977,low
Jim Jensen,invalid_age,jim.jensen@distansakademin.se,0781-439135,high
Jill Janssen,45,jill.janssen@distansakademin.se,0784-194940,medium
Jim Jöhanssön,65,invalid_mail,0795-747862,medium
Jöe Jöhanssön,35,joe.johansson@distansakademin.se,0742-197427,low
Jack Smith,49,invalid_mail,0721-863956,low
Jim Janssen,61,jim.janssen@distansakademin.se,0759-283990,high
Jöe Jensen,60,joe.jensen@distansakademin.se,0720-997636,low
Jöe Jenkins,22,joe.jenkins@distansakademin.se,0792-165752,high
Jill Jöhanssön,48,jill.johansson@distansakademin.se,0759-921509,low
Jasper Jensen,64,jasper.jensen@distansakademin.se,0763-667077,low
Jade Jöhnsön,63,jade.johnson@distansakademin.se,0773-245538,high
Jill Jacksön,48,jill.jackson@distansakademin.se,0717-647896,high
Jasper Jöhnsön,23,jasper.johnson@distansakademin.se,0761-958555,medium
Jane Jennings,30,invalid_mail,0739-707199,high
Jenny Jennings,27,jenny.jennings@distansakademin.se,0798-940895,low
Jack Jacksön,43,jack.jackson@distansakademin.se,0795-858341,low
Jane Jacksön,invalid_age,jane.jackson@distansakademin.se,0755-833484,low
Jade Smith,64,jade.smith@distansakademin.se,0711-302305,medium
Jim Jönes,63,jim.jones@distansakademin.se,0772-451102,medium
Jenny Jöhnsön,invalid_age,jenny.johnson@distansakademin.se,0767-259183,low
Jack Jensen,49,jack.jensen@distansakademin.se,0762-615407,high
Jenny Jennings,48,invalid_mail,0733-851420,medium
Jane Janssen,54,jane.janssen@distansakademin.se,0726-231563,high
Jöe Smith,62,joe.smith@distansakademin.se,0766-923062,medium
Jesse Jensen,21,jesse.jensen@distansakademin.se,0734-988399,low
Jöe Jöhanssön,39,joe.johansson@distansakademin.se,0769-204855,medium
Jack Jöhanssön,23,jack.johansson@distansakademin.se,0713-458380,medium
Jasper Jennings,65,jasper.jennings@distansakademin.se,0753-340432,medium
Jim Jenkins,27,invalid_mail,0765-461712,high
Jasper Janssen,52,jasper.janssen@distansakademin.se,0756-673443,medium
Jenny Jönes,29,jenny.jones@distansakademin.se,0763-382416,low
Jade Jennings,invalid_age,invalid_mail,0780-778299,high
Jade Jensen,33,jade.jensen@distansakademin.se,0756-686962,medium
Jill Jacksön,28,jill.jackson@distansakademin.se,0732-159520,medium
Jesse Jönes,28,jesse.jones@distansakademin.se,0710-290300,high
Jane Smith,62,jane.smith@distansakademin.se,0779-643217,high
Jill Janssen,34,jill.janssen@distansakademin.se,0767-954512,high
Jenny Smith,49,jenny.smith@distansakademin.se,0749-836627,medium
Jenny Jöhanssön,29,invalid_mail,0794-502826,high
Jack Janssen,43,jack.janssen@distansakademin.se,0746-237432,low
Jöe Smith,46,joe.smith@distansakademin.se,0784-741254,high
Jim Jennings,invalid_age,jim.jennings@distansakademin.se,0715-660017,high
Jesse Jensen,invalid_age,jesse.jensen@distansakademin.se,0729-642251,high
Jasper Jöhnsön,42,jasper.johnson@distansakademin.se,0777-499241,medium
Jöe Jönes,53,joe.jones@distansakademin.se,0779-184368,high
Jill Smith,invalid_age,jill.smith@distansakademin.se,0734-622424,medium
Jill Jöhnsön,33,jill.johnson@distansakademin.se,0756-396481,low
Jöe Jönes,27,joe.jones@distansakademin.se,0797-913036,low
Jöhn Jönes,21,john.jones@distansakademin.se,0710-193304,low
Jim Janssen,30,jim.janssen@distansakademin.se,0768-963108,high
Jill Janssen,19,jill.janssen@distansakademin.se,0749-184624,high
Jane Janssen,39,jane.janssen@distansakademin.se,0747-326873,high
Jöe Jacksön,invalid_age,invalid_mail,0710-509755,high
Jade Smith,18,jade.smith@distansakademin.se,0796-557819,low
Jasper Jennings,invalid_age,jasper.jennings@distansakademin.se,0767-454739,high
Jöe Jenkins,63,joe.jenkins@distansakademin.se,0750-984124,high
Jöe Jönes,49,invalid_mail,0791-742788,medium
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0796-203722,high
Jenny Jenkins,25,jenny.jenkins@distansakademin.se,0777-920771,low
Jasper Smith,invalid_age,jasper.smith@distansakademin.se,0761-737489,high
Jöhn Jöhnsön,21,john.johnson@distansakademin.se,0799-508715,high
Jöhn Jöhanssön,19,invalid_mail,0785-554223,high
Jill Smith,55,jill.smith@distansakademin.se,0750-491290,high
Jöhn Smith,33,john.smith@distansakademin.se,0785-224133,high
Jade Jensen,38,jade.jensen@distansakademin.se,0776-261953,medium
Jenny Jöhnsön,26,jenny.johnson@distansakademin.se,0719-281914,high
Jöe Smith,39,joe.smith@distansakademin.se,0726-631070,low
Jade Jennings,19,jade.jennings@distansakademin.se,0723-337905,low
Jack Jöhanssön,56,jack.johansson@distansakademin.se,0765-900746,low
Jill Jönes,48,jill.jones@distansakademin.se,0712-366419,medium
Jenny Jöhanssön,18,jenny.johansson@distansakademin.se,0774-815276,high
Jesse Jennings,35,invalid_mail,0770-796050,medium
Jade Jöhnsön,29,jade.johnson@distansakademin.se,0749-158600,high
Jack Jenkins,19,jack.jenkins@distansakademin.se,0719-296384,medium
Jade Jacksön,50,jade.jackson@distansakademin.se,0724-835167,medium
Jesse Jensen,21,jesse.jensen@distansakademin.se,0741-900852,low
Jane Jöhnsön,47,jane.johnson@distansakademin.se,0750-503842,low
Jade Jöhnsön,invalid_age,jade.johnson@distansakademin.se,0734-744968,low
Jim Smith,33,jim.smith@distansakademin.se,0739-245338,medium
Jade Jenkins,29,jade.jenkins@distansakademin.se,0791-699054,high
Jasper Jennings,54,invalid_mail,0785-576092,high
Jöe Jennings,19,joe.jennings@distansakademin.se,0765-522883,high
Jack Jensen,53,jack.jensen@distansakademin.se,0798-760341,medium
Jenny Jacksön,44,jenny.jackson@distansakademin.se,0723-256883,medium
Jill Jensen,62,jill.jensen@distansakademin.se,0726-320928,medium
Jill Jönes,46,jill.jones@distansakademin.se,0763-651236,medium
Jasper Jensen,43,jasper.jensen@distansakademin.se,0760-656058,low
Jade Jöhnsön,24,jade.johnson@distansakademin.se,0759-971947,low
Jöe Smith,54,joe.smith@distansakademin.se,0788-182542,high
Jane Jöhanssön,37,jane.johansson@distansakademin.se,0740-224954,high
Jesse Jensen,41,jesse.jensen@distansakademin.se,0790-669524,medium
Jim Jöhanssön,26,jim.johansson@distansakademin.se,0765-982038,high
Jack Jensen,38,jack.jensen@distansakademin.se,0794-244394,low
Jasper Jensen,55,jasper.jensen@distansakademin.se,0788-877511,low
Jack Janssen,invalid_age,jack.janssen@distansakademin.se,0761-550350,medium
Jasper Jacksön,27,jasper.jackson@distansakademin.se,0771-286638,low
Jöhn Smith,63,john.smith@distansakademin.se,0762-615509,low
Jenny Jensen,44,jenny.jensen@distansakademin.se,0729-321229,low
Jesse Jacksön,31,jesse.jackson@distansakademin.se,0773-107034,high
Jöe Jönes,22,joe.jones@distansakademin.se,0759-425445,high
Jasper Jennings,24,jasper.jennings@distansakademin.se,0787-940182,high
Jesse Jensen,invalid_age,jesse.jensen@distansakademin.se,0777-964049,low
Jade Jenkins,invalid_age,jade.jenkins@distansakademin.se,0723-471865,high
Jöhn Jöhanssön,31,invalid_mail,0780-107899,medium
Jade Jenkins,25,jade.jenkins@distansakademin.se,0742-324171,low
Jenny Smith,31,invalid_mail,0777-150429,low
Jack Jennings,26,invalid_mail,0760-421198,low
Jöe Smith,48,joe.smith@distansakademin.se,0783-389197,high
Jack Jönes,27,jack.jones@distansakademin.se,0713-846648,medium
Jenny Jensen,invalid_age,jenny.jensen@distansakademin.se,0761-463547,high
Jenny Jöhnsön,41,invalid_mail,0786-653753,high
Jöe Jensen,invalid_age,joe.jensen@distansakademin.se,0741-752150,medium
Jöhn Jöhnsön,27,john.johnson@distansakademin.se,0729-631975,medium
Jack Janssen,43,jack.janssen@distansakademin.se,0754-828999,medium
Jenny Jennings,39,jenny.jennings@distansakademin.se,0760-609518,low
Jade Smith,37,jade.smith@distansakademin.se,0757-636853,high
Jesse Jöhanssön,52,jesse.johansson@distansakademin.se,0712-271382,low
Jane Jönes,48,invalid_mail,0766-437243,low
Jack Jenkins,invalid_age,jack.jenkins@distansakademin.se,0743-101117,medium
Jenny Jensen,64,jenny.jensen@distansakademin.se,0780-308305,medium
Jill Janssen,48,jill.janssen@distansakademin.se,0793-673223,medium
Jöhn Smith,43,john.smith@distansakademin.se,0719-497792,medium
Jack Jensen,20,jack.jensen@distansakademin.se,0719-590044,low
Jade Jensen,20,jade.jensen@distansakademin.se,0762-873649,high
Jesse Jensen,56,jesse.jensen@distansakademin.se,0721-373494,low
Jesse Jöhanssön,invalid_age,jesse.johansson@distansakademin.se,0778-545290,medium
Jane Jensen,61,jane.jensen@distansakademin.se,0786-218244,high
Jade Jacksön,43,jade.jackson@distansakademin.se,0755-646416,high
Jane Jensen,59,invalid_mail,0751-811669,low
Jack Janssen,54,invalid_mail,0757-369035,low
Jade Jensen,48,jade.jensen@distansakademin.se,0796-809855,low
Jim Jensen,invalid_age,jim.jensen@distansakademin.se,0794-626314,high
Jack Jennings,23,jack.jennings@distansakademin.se,0765-838412,medium
Jim Jensen,36,jim.jensen@distansakademin.se,0718-589570,high
Jane Jöhanssön,34,jane.johansson@distansakademin.se,0776-441662,low
Jesse Jenkins,58,jesse.jenkins@distansakademin.se,0755-658176,low
Jill Janssen,61,jill.janssen@distansakademin.se,0783-534799,medium
Jöe Smith,38,joe.smith@distansakademin.se,0754-324107,low
Jim Smith,26,jim.smith@distansakademin.se,0768-529050,medium
Jill Jennings,invalid_age,invalid_mail,0721-544432,high
Jesse Jönes,56,jesse.jones@distansakademin.se,0767-859567,low
Jim Jöhnsön,31,jim.johnson@distansakademin.se,0759-757575,medium
Jade Jöhnsön,24,jade.johnson@distansakademin.se,0735-909942,low
Jack Jenkins,63,jack.jenkins@distansakademin.se,0788-357990,low
Jane Jacksön,20,jane.jackson@distansakademin.se,0796-546100,low
Jasper Jöhnsön,51,jasper.johnson@distansakademin.se,0713-457550,medium
Jill Jöhnsön,21,jill.johnson@distansakademin.se,0777-602021,high
Jill Jensen,65,jill.jensen@distansakademin.se,0734-425408,medium
Jade Jöhanssön,37,jade.johansson@distansakademin.se,0757-956533,high
Jenny Janssen,30,jenny.janssen@distansakademin.se,0778-140282,medium
Jack Jensen,47,jack.jensen@distansakademin.se,0745-488156,low
Jöhn Jennings,invalid_age,john.jennings@distansakademin.se,0767-433187,high
Jane Janssen,invalid_age,jane.janssen@distansakademin.se,0736-453155,medium
Jöe Janssen,55,invalid_mail,0789-755701,medium
Jill Jacksön,41,jill.jackson@distansakademin.se,0755-258856,medium
Jasper Smith,invalid_age,jasper.smith@distansakademin.se,0752-559584,low
Jesse Jenkins,57,jesse.jenkins@distansakademin.se,0797-222444,high
Jim Jöhanssön,61,jim.johansson@distansakademin.se,0769-273584,low
Jill Jacksön,39,jill.jackson@distansakademin.se,0789-877121,medium
Jesse Jöhanssön,19,invalid_mail,0745-649196,medium
Jill Jönes,49,invalid_mail,0711-689244,low
Jenny Jenkins,21,jenny.jenkins@distansakademin.se,0768-965743,high
Jane Jensen,invalid_age,jane.jensen@distansakademin.se,0728-403251,low
Jöe Jacksön,invalid_age,joe.jackson@distansakademin.se,0795-465728,medium
Jim Smith,50,jim.smith@distansakademin.se,0780-261123,medium
Jenny Jensen,57,jenny.jensen@distansakademin.se,0750-235831,low
Jenny Jönes,34,jenny.jones@distansakademin.se,0715-569286,low
Jesse Smith,invalid_age,jesse.smith@distansakademin.se,0770-176064,high
Jim Jenkins,45,jim.jenkins@distansakademin.se,0727-460606,low
Jack Jöhnsön,56,invalid_mail,0770-663946,high
Jöhn Jennings,45,invalid_mail,0736-889918,high
Jane Janssen,65,jane.janssen@distansakademin.se,0738-496453,medium
Jesse Smith,36,jesse.smith@distansakademin.se,0748-286484,high
Jack Jennings,invalid_age,jack.jennings@distansakademin.se,0768-339271,high
Jenny Jacksön,41,jenny.jackson@distansakademin.se,0711-495096,high
Jade Jenkins,33,jade.jenkins@distansakademin.se,0792-570054,medium
Jöe Jenkins,invalid_age,joe.jenkins@distansakademin.se,0717-477673,low
Jade Jacksön,invalid_age,jade.jackson@distansakademin.se,0767-829346,high
Jill Jensen,31,jill.jensen@distansakademin.se,0796-612648,low
Jöe Jensen,55,joe.jensen@distansakademin.se,0721-564056,low
